ACCOUNT,ACC_DESC,PORTFOLIO,PORT_DESC,LEGAL_ENTITY,ALADDIN_PORT,CUSTODIAN,SAFEKEEPING_ACC,BI_SAM
05000   ,LIBLACO SEPARATE ACCOUNTS               ,05537   ,SEPARATE F - PROGRESS - CARDINAL        ,                              ,301                                ,CHASE   ,G 11129         ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,05538   ,SEPARATE F - PROGRESS - ABEL NOSER      ,                              ,                                   ,CHASE   ,NULL,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,05540   ,LIBLACO SM                              ,                              ,                                   ,8500    ,NULL,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,05591   ,LMGAMI OTHER ALTERNATIVES               ,                              ,927                                ,BONY    ,511820          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,055GAM  ,GAM INT'L MGMT LIMITED                  ,                              ,1184                               ,BONY    ,939911          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,055LSP4 ,LMGAMI S&P 400 PASSIVE                  ,                              ,923                                ,BONY    ,511813          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,055LSP5 ,LMGAMI S&P 500                          ,                              ,924                                ,BONY    ,511814          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,055NDBT ,LMGAMI NON-US DEBT                      ,                              ,921                                ,BONY    ,326887          ,055NDBT 
05000   ,LIBLACO SEPARATE ACCOUNTS               ,055NUME ,NUMERIC US LARGE CAP CORE PENSION       ,                              ,1132                               ,BONY    ,887058          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,05690   ,LIBLACO C2                              ,                              ,                                   ,CHASELP ,NULL,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,05695   ,LIBLACO C3                              ,                              ,                                   ,8500    ,NULL,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,05700   ,LIBLACO C4                              ,                              ,                                   ,8500    ,NULL,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,05790   ,LIBLACO M                               ,                              ,                                   ,CHASELP ,NULL,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,05890   ,LIBLACO E                               ,                              ,                                   ,8500    ,NULL,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,05900   ,LMGAMI - CASH & SHORT TERM              ,                              ,302                                ,BONY    ,326895          ,05900   
05000   ,LIBLACO SEPARATE ACCOUNTS               ,GLBOPPTR,GLOBAL OPPORTUNITIES TRUST              ,                              ,1143                               ,BONY    ,965651          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGT88  ,LM MASTER TRUST REAL ESTATE             ,                              ,899                                ,BONY    ,326889          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGT90  ,LM MASTER TRUST PRIVATE EQUITY          ,                              ,898                                ,BONY    ,326888          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGTARRW,LMGT-ARROWSTREET AC EX-US               ,                              ,1056                               ,BONY    ,326883          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGTBGEU,EUROPE ACTIVE BURGUNDY PENSION          ,                              ,1135                               ,BONY    ,742137          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGTCS  ,LM MASTER TRUST CREDIT STRATEGIES       ,                              ,1332                               ,BONY    ,208145          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGTESM ,LMGT - EUROPEAN SMALL CAP               ,                              ,988                                ,BONY    ,326890          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGTEURP,LM MASTER TRUST EUROPEAN PASSIVE FUND   ,                              ,964                                ,BONY    ,LMIF1160002     ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGTGSAM,GSAM COMPLETION PORTFOLIO               ,                              ,1350                               ,BONY    ,850263          ,LMGTGSAM
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGTGSCP,GSAM LONG CREDIT                        ,                              ,1357                               ,BONY    ,325500          ,LMGTGSCP
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGTNUME,NUMERIC EUROPE CORE                     ,                              ,1040                               ,BONY    ,326892          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGTSD  ,LMGAMI STOCK DISTRIBUTION               ,                              ,928                                ,BONY    ,511823          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGTSL  ,LMGAMI - SYNDICATED LOANS               ,                              ,897                                ,BONY    ,511816          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGTSP5E,LMGT - S&P 500 EQUAL WEIGHTED           ,                              ,995                                ,BONY    ,511815          ,
05000   ,LIBLACO SEPARATE ACCOUNTS               ,LMGTSTEU,LMGT - STANDARD LIFE EUROPEAN SMALL CAP ,                              ,1029                               ,BONY    ,326891          ,
06000   ,LIBERTY COUNTY MUTUAL INSURANCE COMPANY ,06000   ,LIBERTY COUNTY MUTUAL INSURANCE COMPANY ,1T00                          ,303                                ,CHASE   ,G 09598         ,06000   
06500   , PERSONAL INS CO          ,06500   , PERSONAL INS CO          ,1V00                          ,304                                ,CHASE   ,G 11127         ,06500   
06500   , PERSONAL INS CO          ,06500TRN,06500TRN LOT TRANSFERS                  ,1V00                          ,                                   ,CHASE   ,NULL,
07000   ,MONTGOMERY MUTUAL INSURANCE CO.         ,07000   ,MONTGOMERY MUTUAL INSURANCE CO.         ,2100                          ,305                                ,CHASE   ,G 52690         ,07000   
07000   ,MONTGOMERY MUTUAL INSURANCE CO.         ,07000TRN,07000 LOT TRANSFERS                     ,2100                          ,                                   ,CHASE   ,NULL,
07100   ,MONTGOMERY INDEMNITY COMPANY            ,07100   ,MONTGOMERY INDEMNITY COMPANY            ,2101                          ,                                   ,8880    ,NULL,
07200   ,SAN DIEGO INSURANCE COMPANY             ,07200   ,SAN DIEGO INSURANCE COMPANY             ,1901                          ,306                                ,CHASE   ,G 53082         ,07200   
07200   ,SAN DIEGO INSURANCE COMPANY             ,07200TRN,07200 LOT TRANSFERS                     ,1901                          ,                                   ,CHASE   ,NULL,
07300   ,GOLDEN EAGLE INSURANCE CORPORATION      ,07300   ,GOLDEN EAGLE INSURANCE CORP - US HLDG   ,1900                          ,307                                ,CHASE   ,G 53081         ,07300   
07300   ,GOLDEN EAGLE INSURANCE CORPORATION      ,07300CA ,GOLDEN EAG. - CA TM                     ,1900                          ,                                   ,CHASE   ,P 25841         ,
07300   ,GOLDEN EAGLE INSURANCE CORPORATION      ,07300M  ,GOLDEN EAGLE INSURANCE CO MLP           ,1900                          ,904                                ,CHASE   ,G 21217         ,
07300   ,GOLDEN EAGLE INSURANCE CORPORATION      ,07300SL ,GOLDEN EAGLE INS CO - SL                ,1900                          ,872                                ,BONY    ,523204          ,
07300   ,GOLDEN EAGLE INSURANCE CORPORATION      ,07300TRN,07300 LOT TRANSFERS                     ,1900                          ,                                   ,CHASE   ,NULL,
07300   ,GOLDEN EAGLE INSURANCE CORPORATION      ,07305   ,GOLDEN EAGLE TRANSITION                 ,1900                          ,379                                ,CHASE   ,NULL,
07300   ,GOLDEN EAGLE INSURANCE CORPORATION      ,0730TMPG,GOLDEN EAGLE INS CORP-US HLDG TMPG COLL ,1900                          ,1014                               ,CHASE   ,G 24082         ,
07400   , MID-ATLANTIC INSURANCE CO,07400   , MID-ATLANTIC INSURANCE CO,1U00                          ,308                                ,CHASE   ,G 55455         ,07400   
07400   , MID-ATLANTIC INSURANCE CO,07400TRN,07400 LOT TRANSFERS                     ,1U00                          ,                                   ,CHASE   ,NULL,
07500   ,LIBERTY PERSONAL INSURANCE COMPANY      ,07500   ,LIBERTY PERSONAL INSURANCE COMPANY      ,1F00                          ,309                                ,CHASE   ,G 07350         ,07500   
07500   ,LIBERTY PERSONAL INSURANCE COMPANY      ,07500TRN,07500 LOT TRANSFERS                     ,1F00                          ,                                   ,CHASE   ,NULL,
07500   ,LIBERTY PERSONAL INSURANCE COMPANY      ,0750TMPG,LIBERTY PERSONAL INS CO TMPG COLLATERAL ,1F00                          ,1015                               ,CHASE   ,G 24083         ,
07600   ,COLORADO CASUALTY INSURANCE COMPANY     ,07600   ,COLORADO CASUALTY INSURANCE COMPANY     ,2300                          ,310                                ,CHASE   ,G 07938         ,07600   
07600   ,COLORADO CASUALTY INSURANCE COMPANY     ,07600NV ,COL. CASUALTY - NV TM                   ,2300                          ,                                   ,CHASE   ,G 10725         ,
07600   ,COLORADO CASUALTY INSURANCE COMPANY     ,07600TRN,07600 LOT TRANSFERS                     ,2300                          ,                                   ,CHASE   ,NULL,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,2500                          ,311                                ,CHASE   ,G 08009         ,07700   
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,077001B ,EICOW - SINGLE B                        ,2500                          ,741                                ,CHASE   ,G 12987         ,077001B 
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,077002B ,EMPLOYEE INS OF WAUSAU HIGH YIELD BOND  ,2500                          ,740                                ,CHASE   ,G 12988         ,077002B 
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700CA ,EICOW - CA TM                           ,2500                          ,                                   ,CHASE   ,P 62577         ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700CS ,EICOW-CREDIT STRATEGIES                 ,2500                          ,1320                               ,CHASE   ,G 21284         ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700DE8,EIOW DEBT EXCHANGE 2008                 ,2500                          ,380                                ,CHASE   ,NULL,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700EQ ,EICOW-EQUITY                            ,2500                          ,1308                               ,CHASE   ,G 21270         ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700F  ,EICOW - FHLB CHICAGO TRIPARTY           ,2500                          ,999                                ,CHASE   ,G 80436         ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700FP ,EICOW - FHLB CHICAGO PROCEEDS           ,2500                          ,998                                ,CHASE   ,G 24039         ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700FP1,EICOW-FUNDING                           ,2500                          ,1316                               ,CHASE   ,G 21686         ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700G  ,EICOW - GLOBAL                          ,2500                          ,891                                ,CHASEGLB,84702           ,07700G  
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700M  ,EIOW - MLP                              ,2500                          ,940                                ,CHASE   ,G 23651         ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700ME ,EICOW - ME TM                           ,2500                          ,                                   ,CHASE   ,G 11519         ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700NV ,EICOW - NV TM                           ,2500                          ,                                   ,CHASE   ,G 10042         ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700PR ,EICOW - PR TM                           ,2500                          ,                                   ,CHASE   ,G 12031         ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700SC ,EIOW - PASSIVE MID CAP US               ,2500                          ,939                                ,CHASE   ,G 23650         ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700SL ,EICOW - SYNDICATED LOANS                ,2500                          ,869                                ,BONY    ,744164          ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700SP5,EIOW - PASSIVE US SP500 LARGE CAP       ,2500                          ,954                                ,CHASE   ,G 23811         ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07700TRN,07700 LOT TRANSFERS                     ,2500                          ,                                   ,CHASE   ,NULL,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,0770SP5E,EICOW - S&P 500 EQUAL WEIGHTED          ,2500                          ,993                                ,CHASE   ,NULL,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,0770TMPG,EMPLOYERS INS OF WAUSAU TMPG COLLATERAL ,2500                          ,1016                               ,CHASE   ,G 24084         ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07710   ,WAUSAU - CANADIAN HOLDINGS              ,2510                          ,424                                ,3100    ,025711006       ,07710   
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07710T  ,WAUSAU - CANADIAN HOLDINGS (TRUST)      ,2510                          ,428                                ,3000    ,025711001       ,07710T  
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07748   ,EICOW - HIGHLAND                        ,2500                          ,                                   ,CHASE   ,10222729.1      ,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07788   ,EICOW - REAL ESTATE LPS                 ,2500                          ,                                   ,CHASELP ,NULL,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,07790   ,EIOW - LIMITED PARTNERSHIPS             ,2500                          ,                                   ,CHASELP ,NULL,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,077AU   ,EICOW - AUD                             ,2500                          ,733                                ,CHASEGLB,NULL,
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,077CLMET,EICOW - METLIFE CML                     ,2500                          ,1077                               ,CHASE   ,G 00586         ,077CLMET
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,077CLPRU,EICOW - PRUDENTIAL CML                  ,2500                          ,1089                               ,CHASE   ,G 00587         ,077CLPRU
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,077CORP ,EICOW-CORP TOTAL RETURN                 ,2500                          ,1176                               ,CHASE   ,G 21785         ,077CORP 
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,077EMTR ,EICOW-EM TOTAL RETURN                   ,2500                          ,1166                               ,CHASE   ,G 21784         ,077EMTR 
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,077EMTRG,EICOW-EM TOTAL RETURN GLOBAL            ,2500                          ,1183                               ,CHASEGLB,EEY07           ,077EMTRG
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,077MBS  ,EICOW-MBS TOTAL RETURN                  ,2500                          ,1171                               ,CHASE   ,G 21787         ,077MBS  
07700   ,EMPLOYERS INSURANCE OF WAUSAU           ,077MUNI ,EICOW-MUNI TOTAL RETURN                 ,2500                          ,1175                               ,CHASE   ,G 21786         ,077MUNI 
07800   ,WAUSAU BUSINESS INSURANCE COMPANY       ,07800   ,WAUSAU BUSINESS INSURANCE COMPANY       ,2503                          ,312                                ,CHASE   ,G 08010         ,07800   
07800   ,WAUSAU BUSINESS INSURANCE COMPANY       ,07800CA ,WAUSAU - CA TM                          ,2503                          ,                                   ,CHASE   ,P 62583         ,
07800   ,WAUSAU BUSINESS INSURANCE COMPANY       ,07800ME ,WAUSAU - ME TM                          ,2503                          ,                                   ,CHASE   ,G 11525         ,
07800   ,WAUSAU BUSINESS INSURANCE COMPANY       ,07800NV ,WAUSAU - NV TM                          ,2503                          ,                                   ,CHASE   ,G 10039         ,
07800   ,WAUSAU BUSINESS INSURANCE COMPANY       ,07800TRN,07800 LOT TRANSFERS                     ,2503                          ,                                   ,CHASE   ,NULL,
07900   ,WAUSAU GENERAL INSURANCE COMPANY        ,07900   ,WAUSAU GENERAL INSURANCE COMPANY        ,2501                          ,313                                ,CHASE   ,G 08013         ,07900   
07900   ,WAUSAU GENERAL INSURANCE COMPANY        ,07900TRN,07900 LOT TRANSFERS                     ,2501                          ,                                   ,CHASE   ,NULL,
08000   ,WAUSAU SERVICE CORPORATION              ,08000   ,WAUSAU SERVICE CORPORATION              ,                              ,314                                ,CHASE   ,G 08012         ,
0800E   ,LMG NON P&C                             ,0800E   ,LMG NON P&C                             ,800E                          ,                                   ,8500    ,NULL,
08100   ,WAUSAU UNDERWRITERS INSURANCE COMPANY   ,08100   ,WAUSAU UNDERWRITERS INSURANCE COMPANY   ,2502                          ,315                                ,CHASE   ,G 08011         ,08100   
08100   ,WAUSAU UNDERWRITERS INSURANCE COMPANY   ,08100CA ,WUIC - CA TM                            ,2502                          ,                                   ,CHASE   ,P 62584         ,
08100   ,WAUSAU UNDERWRITERS INSURANCE COMPANY   ,08100ME ,WUIC - ME TM                            ,2502                          ,                                   ,CHASE   ,G 11526         ,
08100   ,WAUSAU UNDERWRITERS INSURANCE COMPANY   ,08100NV ,WUIC - NV TM                            ,2502                          ,                                   ,CHASE   ,G 10040         ,
08100   ,WAUSAU UNDERWRITERS INSURANCE COMPANY   ,08100PR ,WUIC - PR TM                            ,2502                          ,                                   ,CHASE   ,G 12032         ,
08100   ,WAUSAU UNDERWRITERS INSURANCE COMPANY   ,08100TRN,08100 LOT TRANSFERS                     ,2502                          ,                                   ,CHASE   ,NULL,
08200   ,WAUSAU INSURANCE COMPANY (U. K.) LTD    ,08200   ,WAUSAU INSURANCE COMPANY -U. K.- LTD    ,D610                          ,                                   ,BONY    ,107385          ,
08500   ,BRIDGEFIELD CASUALTY INSURANCE COMPANY  ,08500   ,BRIDGEFIELD CASUALTY INSURANCE COMPANY  ,2401                          ,316                                ,CHASE   ,G 08135         ,
08500   ,BRIDGEFIELD CASUALTY INSURANCE COMPANY  ,08500TRN,08500 LOT TRANSFERS                     ,2401                          ,                                   ,CHASE   ,NULL,
08500   ,BRIDGEFIELD CASUALTY INSURANCE COMPANY  ,0850TMPG,BRIDGEFIELD CASUALTY INS CO TMPG COLL   ,2401                          ,1017                               ,CHASE   ,G 24085         ,
08550   ,SUMMIT HOLDINGS CORPORATION             ,08550   ,SUMMIT CONSULTING INC.                  ,8400                          ,440                                ,CHASE   ,G 99901         ,
08556   ,SUMMIT HOLDINGS SOUTHEAST INC           ,08556H  ,SUMMIT HOLDINGS                         ,8401                          ,                                   ,CHASE   ,G 99915         ,
08600   ,BRIDGEFIELD EMPLOYERS INSURANCE COMPANY ,08600   ,BRIDGEFIELD EMPLOYERS INSURANCE COMPANY ,2400                          ,317                                ,CHASE   ,G 08134         ,
08600   ,BRIDGEFIELD EMPLOYERS INSURANCE COMPANY ,08600TRN,08600 LOT TRANSFERS                     ,2400                          ,                                   ,CHASE   ,NULL,
08900   , INVESTMENT ADVISORS LLC  ,08900SD ,LMIALLC - STOCK DISTRIBUTION            ,                              ,931                                ,CHASE   ,G 80441         ,
08900   , INVESTMENT ADVISORS LLC  ,08901   ,LMIA ST LIQUIDITY POOL DOMESTIC P&C     ,                              ,675                                ,CHASE   ,G 08527         ,
08900   , INVESTMENT ADVISORS LLC  ,08901M  ,LMIA LLC - P&C LIQUIDITY POOL           ,                              ,752                                ,MELLON  ,NULL,
08900   , INVESTMENT ADVISORS LLC  ,08902   ,LMIA ST LIQUIDITY POOL DOMESTIC LIFE    ,                              ,676                                ,CHASE   ,G 08529         ,
08900   , INVESTMENT ADVISORS LLC  ,08902M  ,LMIA LLC - LIFE LIQUIDITY POOL          ,                              ,754                                ,MELLON  ,NULL,
08900   , INVESTMENT ADVISORS LLC  ,08903   ,LMIA LIMITED PARTNERSHIPS               ,                              ,318                                ,CHASE   ,G 08531         ,
08900   , INVESTMENT ADVISORS LLC  ,08904   ,LMIA ST HIGH YIELD BONDS                ,                              ,                                   ,CHASE   ,G 08532         ,
08900   , INVESTMENT ADVISORS LLC  ,08905   ,LMIA SEP A/C LP's                       ,                              ,683                                ,CHASE   ,G 08576         ,
08900   , INVESTMENT ADVISORS LLC  ,08906   ,LMIA ST NON INSURANCE                   ,                              ,677                                ,CHASE   ,G 08530         ,
08900   , INVESTMENT ADVISORS LLC  ,08906M  ,LMIA LLC - NON-INSURANCE LIQUIDITY POOL ,                              ,755                                ,MELLON  ,NULL,
08900   , INVESTMENT ADVISORS LLC  ,08907   ,LMIA ST LLC - LIH                       ,                              ,678                                ,CHASE   ,G 08585         ,
08900   , INVESTMENT ADVISORS LLC  ,08907M  ,LMIA LLC - LIH LIQUIDITY POOL           ,                              ,753                                ,MELLON  ,NULL,
09000   ,LIBERTY LLOYDS OF TEXAS INSURANCE CO    ,09000   ,LIBERTY LLOYDS OF TEXAS INSURANCE CO    ,1M00                          ,319                                ,CHASE   ,G 08562         ,09000   
09000   ,LIBERTY LLOYDS OF TEXAS INSURANCE CO    ,09000TRN,09000 LOT TRANSFERS                     ,1M00                          ,                                   ,CHASE   ,NULL,
09100   ,LIBERTY ENERGY HOLDINGS LLC             ,09100   ,LIBERTY ENERGY HOLDINGS LLC             ,8075                          ,                                   ,8500    ,NULL,
0912E   ,IC GROUP NON P&C                 ,0912E   ,IC GROUP NON P&C                 ,                              ,                                   ,8500    ,NULL,
0913E   ,IC GROUP P&C                     ,0913E   ,IC GROUP P&C                     ,                              ,                                   ,8500    ,NULL,
09200   ,AMERICAN FIRST LLOYDS INS CO            ,09200   ,AMERICAN FIRST LLOYDS INS CO            ,2673                          ,320                                ,CHASE   ,G 09434         ,09200   
09200   ,AMERICAN FIRST LLOYDS INS CO            ,09200TRN,09200 LOT TRANSFERS                     ,2673                          ,                                   ,CHASE   ,NULL,
09250   ,GULF STATES AIF INC                     ,09250   ,GULF STATES AIF INC                     ,                              ,                                   ,        ,NULL,
10000   , GROUP INC.               ,10000   , GROUP INC.               ,8092                          ,321                                ,CHASE   ,G 09358         ,
10000   , GROUP INC.               ,10000LIQ,NON-INSURANCE ST LIQUIDITY POOL         ,8098                          ,1124                               ,CHASE   ,G 04009         ,
10000   , GROUP INC.               ,10000MEL,NON-INSURANCE MELLON LIQUIDITY POOL     ,8098                          ,1121                               ,MELLON  ,NULL,
10000   , GROUP INC.               ,10002   ,LMG DEBT PROCEEDS 2008                  ,8092                          ,445                                ,CHASE   ,NULL,
10000   , GROUP INC.               ,10003   ,LMGI DEBT PROCEEDS                      ,8092                          ,850                                ,CHASE   ,G 12317         ,
10000   , GROUP INC.               ,10004   , GROUP - BOA IRS          ,8092                          ,907                                ,CHASE   ,G 21213         ,
10000   , GROUP INC.               ,10005   , GROUP - JPM IRS          ,8092                          ,908                                ,CHASE   ,G 21201         ,
10000   , GROUP INC.               ,10006   ,LMGI CREDIT FACILITY PROCEEDS           ,8092                          ,                                   ,CHASE   ,G 01020         ,
10000   , GROUP INC.               ,10007   ,LMGI JPM COLLATERAL                     ,8092                          ,                                   ,CHASE   ,G 12320         ,
10000   , GROUP INC.               ,10008   ,LMGI BOA COLLATERAL                     ,8092                          ,                                   ,CHASE   ,G 56520         ,
10000   , GROUP INC.               ,LMGIOIE ,LMGI OLD IRONSIDES                      ,8092                          ,1076                               ,CHASE   ,G 00512         ,
20000   ,OHIO CASUALTY CORPORATION               ,20000   ,OHIO CASUALTY CORPORATION               ,2714                          ,322                                ,CHASE   ,G 06429         ,20000   
2014CRTF,PEMBROKE MANAGING AGENCY 2014CRTF - USD ,2014CRTF,PEMBROKE MANAGING AGENCY 2014CRTF - USD ,GCARROL PMCKERN             05,1280                               ,CITIBK6 ,420141X         ,
2014SLTF,PEMBROKE MANAGING AGENCY 2014SLTF - USD ,2014SLTF,PEMBROKE MANAGING AGENCY 2014SLTF - USD ,GCARROL PMCKERN             05,1281                               ,CITIBK6 ,420142X         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21000   ,OHIO CASUALTY INSURANCE COMPANY         ,2700                          ,446                                ,CHASE   ,G 06431         ,21000   
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,210001B ,OHIO CASUALTY SINGLE B                  ,2700                          ,452                                ,CHASE   ,G 20076         ,210001B 
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,210001BD,OHIO CASUALTY SINGLE B DEFERRED G-L     ,2700                          ,453                                ,CHASE   ,G 20075         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,210002B ,OHIO CASUALTY HIGH YIELD BOND           ,2700                          ,454                                ,CHASE   ,G 20077         ,210002B 
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,210002BD,OHIO CASUALTY DOUBLE B DEFERRED G-L     ,2700                          ,455                                ,CHASE   ,G 20078         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21000CS ,OCAS-CREDIT STRATEGIES                  ,2700                          ,1325                               ,CHASE   ,G 21285         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21000EQ ,OCAS-EQUITY                             ,2700                          ,1313                               ,CHASE   ,G 21272         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21000FP ,OCAS-FUNDING                            ,2700                          ,1310                               ,CHASE   ,G 21271         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21000GLF,OCAS-GLOBAL OPPORTUNITY FUND            ,2700                          ,1028                               ,CHASEGLB,AET84           ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21000M  ,OHIO CASUALTY INSURANCE CO MLP          ,2700                          ,901                                ,CHASE   ,G 21214         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21000OH ,OCIC - OH TM                            ,2700                          ,                                   ,CHASE   ,G 11662         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21000SL ,OHIO CASUALTY IC - SL                   ,2700                          ,876                                ,BONY    ,153629          ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21000SP5,OCIC - US LARGE CAP                     ,2700                          ,786                                ,CHASE   ,G 23812         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21000TRN,21000 LOT TRANSFERS                     ,2700                          ,                                   ,CHASE   ,NULL,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21000U  ,OHIO CASUALTY INSURANCE CO (USBANK)     ,2700                          ,429                                ,USBANK  ,2572000300      ,21000U  
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21001   ,OCAS PUBLIC EQUITY PORTFOLIO            ,2700                          ,                                   ,CHASE   ,NULL,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21007   ,OCAS 2007 CAPITAL CONTRIBUTION          ,2700                          ,323                                ,CHASE   ,G 11714         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21008   ,OHIO CASUALTY INS CO-2008 LIH REPOOLING ,2700                          ,324                                ,CHASE   ,G 11791         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,2100SP5E,OHIO CASUALTY INS CO-S&P 500 EQ WEIGHTED,2700                          ,994                                ,CHASE   ,NULL,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,2100TMPG,OHIO CASUALTY INS CO TMPG COLLATERAL    ,2700                          ,1018                               ,CHASE   ,G 24086         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21039SC ,OCIC - US SMID CAP                      ,2700                          ,787                                ,CHASE   ,G 56507         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21059AE ,OCIC - ASIA EX-JAPAN                    ,2700                          ,798                                ,CHASEGLB,75007           ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21059AED,OCIC - ASIA EX-JAPAN - DOM              ,2700                          ,807                                ,CHASE   ,G 56514         ,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21088   ,OCAS REAL ESTATE PORTFOLIO              ,2700                          ,                                   ,CHASELP ,NULL,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,21090   ,OCAS PRIVATE EQUITY PORTFOLIO           ,2700                          ,                                   ,CHASELP ,NULL,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,210AU   ,OHIO CASUALTY INS. CO - AUD             ,2700                          ,                                   ,CHASEGLB,NULL,
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,210CLMET,OCIC - METLIFE CML                      ,2700                          ,1086                               ,CHASE   ,G 00590         ,210CLMET
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,210CLPRU,OCIC - PRUDENTIAL CML                   ,2700                          ,1098                               ,CHASE   ,G 00591         ,210CLPRU
21000   ,OHIO CASUALTY INSURANCE COMPANY         ,210CSPR ,OCAS CREDIT STRATEGIES PROCESSING ACCT  ,2700                          ,1345                               ,CHASE   ,G 22018         ,210CSPR 
